total_length,num_points,sharp_turns,intersections,bounding_box_area,compactness,start_end_distance,angular_variance,label
0.10425877539730678,373,4,440,0.0008154874000000077,0.007821762694721556,0.0020838665984164754,381.89661558030394,1
0.22024765298517496,328,18,425,0.0016199732999997488,0.007355235245611405,0.0025058731013381337,968.7495279893922,5
0.11393790193497108,328,1,395,0.00091690389999984,0.008047400245470149,0.00021213203435999173,169.14281852464825,1
0.20813555283158383,318,2,401,0.0010034448000000782,0.004821111945310138,0.0038934432062085003,264.93934609353965,4
0.06996577809426158,336,2,579,9.159359999995067e-05,0.001309120008306789,0.0004704253394606003,180.0604687278074,2
0.040881300396788896,151,4,194,7.569450000001605e-05,0.0018515678137763355,0.00021213203435798203,525.0822175397852,1
0.09289938099397996,330,1,379,0.0002684528000000909,0.0028897157023843583,0.00019697715604072958,146.4636975012217,1
0.12125776327594708,326,0,347,0.0009698655999999064,0.007998379434006027,0.0005000999899900998,81.80028524052427,1
0.2333220544555259,331,3,414,0.001974791099999825,0.008463799552117542,0.0005080354318272472,187.92932255992292,1
0.0894822974264712,338,7,403,0.00028197299999983355,0.0031511595936786776,0.0028842503358702705,512.3966904966869,2
0.05993304849373419,150,0,190,8.327589999991673e-05,0.0013894821320264222,6.403124237467862e-05,98.29337617088464,1
0.06041952864364515,129,2,156,7.037939999998478e-05,0.001164845234312949,9.219544457136528e-05,441.34668845408294,1
0.13836378516538905,316,1,315,0.0013793768999997937,0.009969204718929859,0.00030083217913745114,84.31295135011086,3
0.0883003594516022,342,3,711,5.918360000000412e-05,0.0006702532171734012,0.0015601281998581962,246.92450402783422,4
0.12773019399631869,337,8,403,0.00043878359999999504,0.0034352378734556783,0.0008335466393671426,677.9804129357834,3
0.23695070164632964,324,2,345,0.004442780400000457,0.018749809007241127,0.0296071900051403,265.189256752122,1
0.2390937754556231,372,13,1342,0.0016414472000001595,0.006865286211956696,0.030782624969283013,657.7005600876429,2
0.13089101849030102,329,1,349,0.0008989253000001177,0.006867738599396167,9.000000000014552e-05,108.5116669304578,4
0.17552933716179708,426,13,3321,8.950000000000716e-05,0.0005098862756913908,3.162277659823969e-05,531.6752681125945,2
0.15249467322589927,327,3,415,0.0004575321000003143,0.0030003152918170804,0.0002580697580064648,251.83586490047102,1
0.23887358643800974,351,1,419,0.0022469931999996415,0.009406620604253206,9.000000000014552e-05,163.266257219907,4
0.20770373778547171,330,13,3985,4.6066499999995775e-05,0.0002217894607538353,0.0001615549442072593,801.8094300861675,3
0.14392563525571334,392,4,417,0.0008387357999999304,0.005827563647780638,0.0002828427124789841,353.51660744708886,1
0.2238967884896586,343,33,5654,4.5779999999947476e-05,0.00020446921239364706,0.00013038404810293168,1446.7284444219647,5
0.1207177788732741,327,7,460,0.00025967280000007125,0.0021510733748064397,6.403124237467862e-05,569.256492679343,1
0.19924619112859912,331,1,407,0.002228957299999873,0.01118695061307968,0.00020124611797530645,122.36128528806506,1
0.15860992398674714,321,1,422,0.0008939590000001017,0.0056362110108242516,3.000000000952241e-05,148.15929752822257,4
0.1367344232307645,320,5,443,0.0007491983999999387,0.005479223024443,0.0002499999999940883,410.5244077416901,3
0.15201879628929688,313,2,425,0.0007051915000000995,0.004638844124631117,0.0001749285568436109,271.65610858999446,2
0.1578413693610205,318,13,3431,0.0004946923999999818,0.0031341111775868053,0.002680018656656614,719.1253697127503,2
0.19780106060993635,315,5,462,0.0009243767999994509,0.004673265133913118,0.0036780021750995196,432.74998863000434,5
0.059499580785660124,286,4,321,0.00015359399999988584,0.0025814299524762906,6.403124237467862e-05,395.8862828263003,1
0.16958641605068925,307,4,385,0.0009832500000002146,0.005797929002204528,0.0010609901036319495,405.00463298186395,4
0.15582658939246496,315,8,448,0.0008972200000005245,0.005757810675948156,0.0003101612483915433,538.4396237028068,3
0.12213411712158206,386,10,2003,0.00026824140000007626,0.0021962855778704924,0.00413879209431631,496.35312788898113,1
0.21809082375903782,323,5,536,0.0009736595000002479,0.004464467982733725,3.605551275228957e-05,434.9312970521868,2
0.08998656504907557,381,15,451,0.0007263168000000396,0.00807139154165882,0.001575626859383405,774.8940423428846,1
0.09022764152686005,378,4,448,0.0007214194000000642,0.007995547570478203,0.0013409325113507798,324.06155385806204,1
0.056363899314597454,289,1,306,0.0006814367999997831,0.012089951339177497,0.026989414591647384,277.8234338713251,1
0.20503941697375083,352,19,516,0.0006775596000003534,0.0033045333916799746,0.0006800000000026785,910.1010326990519,3
0.16792206536955018,362,4,570,0.0006891252000000925,0.004103839471504343,0.0001486606874754435,387.24138349930234,1
0.14336598772972037,312,1,391,0.0014603651999998207,0.010186273767756987,0.00110675200474218,144.6913244831229,1
0.18498178284664557,320,20,4501,0.0006275639999998426,0.0033925719081219397,0.0015652475842490648,721.794727349456,1
0.14443920730852153,343,14,580,0.0007369751999998455,0.005102320995335218,0.0010761505470909668,776.3181839819558,2
0.19853695113250813,316,7,451,0.0010366244999994777,0.005221317714844984,0.0002973213749403718,355.50795568424314,4
0.10484833467386356,353,7,388,0.0013500719999997727,0.012876427691476884,0.04505590416359949,406.7350828847872,1
0.08655734206727853,387,6,413,0.0006517056000002564,0.007529177588351829,0.00019697715603495802,391.85156657410664,1
0.15959003921856185,313,2,640,0.00028222000000002463,0.001768406107185164,0.0031785531299613015,254.98711482483472,2
0.14929888901651397,328,11,345,0.0014940810000000537,0.010007314922717163,0.00030083217912894823,638.1976700588999,3
0.1988277891353764,317,6,402,0.0010909457999999737,0.005486887948329891,0.002687042984391321,319.71786666392285,4
